## Baseline case,,,,,,,,
$ du -sh elm-stuff/0.19.1/,,,,,,,,
1.2M      elm-stuff/0.19.1/ ,Average,,,,,,,
$ find src -name '*.elm' | xargs touch && time elm make src/Main.elm --output elm.js,,,,,,,,
real,1.32,1.141,1.782,1.143,1.081,1.729,1.065,
user,0.97,0.859,1.453,0.813,0.719,1.109,0.859,
sys,2.17,1.781,2.859,2.078,1.797,2.875,1.625,
,,,,,,,,
## .elmo is a zip file,,,,,,,,
$ du -sh elm-stuff/0.19.1/,,,,,,,,
1.1M      elm-stuff/0.19.1/ ,,,,,,,,
$ find src -name '*.elm' | xargs touch && time elm make src/Main.elm --output elm.js,,,,,,,,
real,1.30,1.476,1.127,1.095,1.174,1.134,1.767,1.096
user,0.99,1.078,0.828,0.922,0.844,1.047,1.234,0.953
sys,2.16,2.359,1.922,1.844,1.922,1.844,3.063,1.781
,,,,,,,,
## .elmo and o.dat are zip files,,,,,,,,
$ du -sh elm-stuff/0.19.1/,,,,,,,,
504K    elm-stuff/0.19.1/ ,,,,,,,,
$ find src -name '*.elm' | xargs touch && time elm make src/Main.elm --output elm.js,,,,,,,,
real,1.63,1.497,1.127,1.796,1.759,1.77,1.809,
user,1.15,0.984,1.016,1.203,1.375,1.125,1.172,
sys,2.69,2.297,1.875,3,2.859,3.125,2.969,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Conclusion: not worth it!! Boo!!,,,,,,,,
